课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,34,2526121081959003,世界政治概论03班,21081959,世界政治概论,2,国际关系学院,专业核心课,宋伟,2024国际政治类3班,30,1,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 教三3205; 2: 3周, 单双周,星期日, 3-4节, 教三3205;",
,35,2526121081961001,世界政治思想史01班,21081961,世界政治思想史,3,国际关系学院,部类基础,张广生,"2024国际政治（留学生）1班,2024国际政治类[1-3]班,2024政治学、经济学与哲学专业（PPE实验班）1班",39,3,"1: 1-16周, 单双周,星期四, 11-13节, 明商0104;",
,36,2526121081961002,世界政治思想史02班,21081961,世界政治思想史,3,国际关系学院,部类基础,丁凡,"2024国际政治（留学生）1班,2024国际政治类[1-3]班,2024政治学、经济学与哲学专业（PPE实验班）1班",38,3,"1: 1-16周, 单双周,星期四, 11-13节, 教三3205;",
,37,2526121081961003,世界政治思想史03班,21081961,世界政治思想史,3,国际关系学院,专业核心课,陈华文,"2024全球治理与国际事务实验班1班,2024“政治学-历史学”双学士学位复合型人才培养项目1班,2024“政治学-历史学”双学士学位复合型项目班",50,3,"1: 1-4,6-16周, 单双周,星期二, 7-9节, 教三3205; 2: 3周, 单双周,星期日, 7-9节, 教三3205;",
,38,2526121081962001,国际经济学01班,21081962,国际经济学,2,国际关系学院,专业核心课,保建云,2023国际政治（国际政治经济学方向）班,19,1,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 明国0305; 2: 5周, 单双周,星期六, 1-2节, 明国0305;",
,39,2526121081963001,全球经济治理01班,21081963,全球经济治理,2,国际关系学院,专业核心课,刘露馨,2023国际政治（国际政治经济学方向）班,20,1,"1: 1-16周, 单双周,星期一, 3-4节, 明商0205;",
,40,2526121081964001,发展学导论01班,21081964,发展学导论,2,国际关系学院,个性化选修,崔守军,"2023国际政治类（留学生）1班,2023“政治学-历史学”双学士学位人才培养项目1班,2023“政治学-历史学”双学士学位复合型人才培养项目1班,2023国际政治（留学生）班,2023外......",50,1,"1: 1-16周, 单双周,星期四, 7-8节, 明商0105;",
,41,2526121081965001,日本政治与社会01班,21081965,日本政治与社会,2,国际关系学院,专业核心课,黄大慧,"2024全球治理与国际事务实验班1班,2024国际政治（留学生）1班,2024国际政治类[1-3]班,2024“政治学-历史学”双学士学位复合型人才培养项目1班,2024“政治学-历史学”......",90,3,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 明商0102; 2: 5周, 单双周,星期六, 3-4节, 明商0102;",
,42,2526121081972002,环境价值评估（英）02班,21081972,环境价值评估（英）,2,生态环境学院,专业核心课,赵浩,"2023明德环境“经济学-科学”拔尖人才实验班1班,2023资源与环境经济学1班",38,4,"1: 1-16周, 单双周,星期四, 11-12节, 立德1002;",
,43,2526121081975001,气候变化科学与碳中和技术概论01班,21081975,气候变化科学与碳中和技术概论,2,化学与生命资源学院,专业核心课,王驰中,2024理科试验班（化学与生命资源拔尖班）,43,3,"1: 1-16周, 单双周,星期一, 7-8节, 教三3408;",
,44,2526121081978001,环境生态学01班,21081978,环境生态学,2,生态环境学院,个性化选修,盛岩,2024理科试验班（化学与生命资源拔尖班）,43,5,"1: 1-16周, 单双周,星期五, 1-2节, 教三3302;",
,45,2526121081983001,全球气候变化与治理（英）01班,21081983,全球气候变化与治理（英）,2,生态环境学院,个性化选修,何霄嘉,"2023可持续发展与城市治理实验班1班,2022可持续发展与城市治理实验班1班",30,10,"1: 1-4,6-12,14-16周, 单双周,星期二, 11-12节, 教二2114; 2: 13周, 单双周,星期二, 11-12节, 教二2114; 3: 3周, 单双周,星期日, 11-12节, 教二2114;",
,46,2526121081986001,不动产制度与政策前沿01班,21081986,不动产制度与政策前沿,1,公共管理学院,个性化选修,"吕萍,张译文","2024“统计-公共管理”双学士学位复合型人才培养项目1班,2022土地资源管理1班,2024土地资源管理1班,2023土地资源管理1班",25,5,"1: 1-8周, 单双周,星期一, 7-8节, 教二2112;",
,47,2526121081996001,房地产数据分析与建模01班,21081996,房地产数据分析与建模,2,公共管理学院,专业核心课,曲卫东,"2023统计-公共管理实验班1班,2023统计-公共管理实验班",14,10,"1: 1-7,9-16周, 单双周,星期四, 7-8节, 立德702; 2: 8周, 单双周,星期四, 7-8节, 立德702;",
,48,2526121081999001,人口理论与思想01班,21081999,人口理论与思想,2,人口与健康学院,个性化选修,"周祝平,杨凡","2024社会学类[1-4]班,*|2025|*|可选,*|2022|*|可选,*|2023|*|可选,*|2024|*|可选",50,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 国学楼113; 2: 3周, 单双周,星期日, 3-4节, 国学楼113;",
,49,2526121081999002,人口理论与思想02班,21081999,人口理论与思想,2,人口与健康学院,个性化选修,"杨凡,周祝平",2024社会学类[1-4]班,50,0,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 教一1604; 2: 3周, 单双周,星期日, 11-12节, 教一1604;",
,50,2526121082003001,社会工作理论史01班,21082003,社会工作理论史,2,社会学院,专业核心课,吕楠,2023社会学类[1-4]班,25,3,"1: 1-16周, 单双周,星期一, 3-4节, 教二2216;",
,1,2526121082005001,Human Behavior and Socio,21082005,Human Behavior and Socio-envir,2,社会学院,专业核心课,王阳,"2023数字社会与数据治理实验班1班,2023社会学类[1-4]班,2022经济学、社会学与历史学实验班（ESH实验班）,2023“社会学+信息资源管理”双学士学位班",80,10,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 教二2109; 2: 3周, 单双周,星期日, 3-4节, 教二2109;",
,2,2526121082015001,抽样与问卷调查（24ESH）,21082015,抽样与问卷调查,2,社会学院,个性化选修,唐丽娜,"2022社会学类[1-4]班,2024经济社会历史（ESH）班,2024经济学、社会学与历史学实验班（ESH实验班）,2022经济学、社会学与历史学实验班（ESH实验班）,2024经济学、......",20,5,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 教二2205; 2: 3周, 单双周,星期日, 3-4节, 教二2205;",
,3,2526121082144001,资源与环境经济学01班,21082144,资源与环境经济学,4,生态环境学院,专业核心课,"成璐,庞军,昌敦虎,马本",2023可持续发展与城市治理实验班1班,30,3,"1: 1-16周, 单双周,星期一, 3-4节, 立德410; 2: 1-16周, 单双周,星期一, 11-12节, 立德410;",
,4,2526121082447001,社会认知研究专题01班,21082447,社会认知研究专题,3,心理学系,个性化选修,"李永娜,刘聪慧",2022心理学拔尖班1班,15,0,"1: 1-4,6-16周, 单双周,星期二, 11-13节, 立德411; 2: 3周, 单双周,星期日, 11-13节, 立德411;",
,5,2526121082550001,发展与教育研究专题01班,21082550,发展与教育研究专题,3,心理学系,个性化选修,"陈晓晨,韦庆旺",2022心理学拔尖班1班,15,0,"1: 1-4,6-16周, 单双周,星期二, 1-3节, 立德1009; 2: 3周, 单双周,星期日, 1-3节, 立德1009;",
,6,2526121082555001,质性研究方法01班,21082555,质性研究方法,2,心理学系,个性化选修,唐信峰,临时班,30,5,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 立德1009; 2: 5周, 单双周,星期六, 3-4节, 立德1009;",
,7,2526121082648001,组织管理研究方法01班,21082648,组织管理研究方法,2,劳动人事学院,专业核心课,王亚婷,"2023人力资源管理类[1-5]班,2023人力资源管理留学生班",80,10,"1: 1-4,6-16周, 单双周,星期三, 11-12节, 教三3207; 2: 5周, 单双周,星期六, 11-12节, 教三3207;",
,8,2526121089444001,小学基础01班,21089444,小学基础,2,国学院,专业核心课,李建强,2023国学-古典学双学位学士项目1班,25,10,"1: 1-16周, 单双周,星期四, 7-8节, 立德1003;",
,9,2526121089445001,中国通史Ⅰ01班,21089445,中国通史Ⅰ,2,国学院,专业核心课,张耐冬,2024“国学-古典学”双学士学位复合型人才培养项目1班,25,15,"1: 1-16周, 单双周,星期四, 7-8节, 国学楼B113;",
,10,2526121089450001,欧亚古典学基础（含4学时实践）01班,21089450,欧亚古典学基础（含4学时实践）,4,国学院,专业核心课,"张闶,毕波,陈希,张永富",2023国学-古典学双学位学士项目1班,25,15,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 国学楼B113; 2: 1-4,6-16周, 单双周,星期二, 9-10节, 国学楼B113; 3: 3周, 单双周,星期日, 3-4节, 国学楼B113; 4: 3周, 单双周,星期日, 9-10节, 国学楼B113;",
,11,2526121089453001,出土文献综合研究01班,21089453,出土文献综合研究,2,国学院,个性化选修,孙闻博,"2024“国学-古典学”双学士学位复合型人才培养项目1班,2023汉语言文学（古文字学方向）强基计划1班,2022国学-古典学双学士学位复合型人才培养项目1班",15,15,"1: 1-4,6-16周, 单双周,星期二, 9-10节, 教二2212; 2: 3周, 单双周,星期日, 9-10节, 教二2212;",
,12,2526121089469001,多媒体应用实践01班,21089469,多媒体应用实践,2,信息学院,人工智能与数据技术平台课,覃雄派,"2025新时代经济学拔尖人才班1班,2025社会科学基础理论拔尖人才班1班,2024马克思主义理论1班,2025经济学类[1-4]班",42,0,"1: 1-16周, 单双周,星期一, 3-4节, 明德地下E; 2: 1-16周, 单双周,星期一, 5-6节, 明德地下E;",
,13,2526121089469002,多媒体应用实践02班,21089469,多媒体应用实践,2,信息学院,人工智能与数据技术平台课,张金玲,"2025国际新闻传播战略人才班1班,2025“新媒体与数据管理”创新人才班1班,商学院2025级本科[1-6]班,2025“社会学-信息资源管理”双学士学位复合型人才培养项目1班,2025......",42,0,"1: 1-16周, 单双周,星期一, 7-8节, 明德地下D; 2: 1-16周, 单双周,星期一, 9-10节, 明德地下D;",
,14,2526121089470001,移动App开发01班,21089470,移动App开发,2,信息学院,人工智能与数据技术平台课,胡鹤,"2025新时代经济学拔尖人才班1班,2025社会科学基础理论拔尖人才班1班,2024马克思主义理论1班,2025经济学类[1-4]班",40,0,"1: 1-16周, 单双周,星期一, 3-4节, 明德地下F; 2: 1-16周, 单双周,星期一, 5-6节, 明德地下F;",
,15,2526121089470002,移动App开发02班,21089470,移动App开发,2,信息学院,人工智能与数据技术平台课,胡鹤,"2025涉外法治战略人才班1班,2025“涉外法治”创新人才班1班,2024心理学拔尖班1班,2025法学[1-3]班,2024“资源与环境经济学-公共管理学”双学士学位复合型人才培养项目......",55,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 明德地下F; 2: 1-4,6-16周, 单双周,星期三, 5-6节, 明德地下F; 3: 5周, 单双周,星期六, 3-4节, 明德地下F; 4: 5周, 单双周,星期六, 5-6节, 明德地下F;",
,16,2526121089544001,中国文学史Ⅰ01班,21089544,中国文学史Ⅰ,2,国学院,专业核心课,辛晓娟,2024“国学-古典学”双学士学位复合型人才培养项目1班,25,15,"1: 1-16周, 单双周,星期四, 11-12节, 国学楼B113;",
,17,2526121089545001,经学子学史Ⅰ01班,21089545,经学子学史Ⅰ,2,国学院,专业核心课,宋洪兵,2024“国学-古典学”双学士学位复合型人才培养项目1班,25,15,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 国学楼B113; 2: 3周, 单双周,星期日, 7-8节, 国学楼B113;",
,18,2526121089556001,Python基础与应用01班,21089556,Python基础与应用,2,商学院,部类基础,张瑾,"2024“工商管理-法学”双学士学位复合型人才培养项目1班,商学院2024级本科[1-6]班,商学院2024级智能会计大类班,商学院2024级商法双学位班",59,0,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 立德906; 2: 5周, 单双周,星期六, 1-2节, 立德906;",
,19,2526121089556002,Python基础与应用02班,21089556,Python基础与应用,2,商学院,部类基础,张瑾,"2024“工商管理-法学”双学士学位复合型人才培养项目1班,商学院2024级本科[1-6]班,商学院2024级智能会计大类班,商学院2024级商法双学位班",60,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 立德906; 2: 5周, 单双周,星期六, 3-4节, 立德906;",
,20,2526121089556007,Python基础与应用01班,21089556,Python基础与应用,2,生态环境学院,部类基础,张波,2024资源与环境经济学1班,30,3,"1: 1-16周, 单双周,星期五, 5-6节, 立德309;",
,21,2526121089556008,Python基础与应用01班,21089556,Python基础与应用,2,信息资源管理学院,部类基础,王应解,"2024“工商管理-法学”双学士学位复合型人才培养项目1班,商学院2024级本科[1-6]班,商学院2024级商法双学位班",58,0,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 明德地下H; 2: 5周, 单双周,星期六, 1-2节, 明德地下H;",
,22,2526121089556009,Python基础与应用02班,21089556,Python基础与应用,2,信息资源管理学院,部类基础,王应解,"2024“工商管理-法学”双学士学位复合型人才培养项目1班,商学院2024级本科[1-6]班,商学院2024级商法双学位班",50,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 明德地下E; 2: 5周, 单双周,星期六, 3-4节, 明德地下E;",
,23,2526121089557001,数据管理与数据挖掘01班,21089557,数据管理与数据挖掘,2,信息学院,人工智能与数据技术平台课,战疆,"2025新时代经济学拔尖人才班1班,2025社会科学基础理论拔尖人才班1班,2024马克思主义理论1班,2025经济学类[1-4]班",42,0,"1: 1-16周, 单双周,星期一, 3-4节, 明德地下C; 2: 1-16周, 单双周,星期一, 5-6节, 明德地下C;",
,24,2526121089557002,数据管理与数据挖掘02班,21089557,数据管理与数据挖掘,2,信息学院,人工智能与数据技术平台课,刘桃,"2025涉外法治战略人才班1班,2025历史政治学拔尖人才班1班,（艺）2024创意传播实验班1班,2025“智农”创新人才班1班,2025人力资源管理类[1-4]班,2025法学[1-3......",35,0,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 明德地下D; 2: 1-4,6-16周, 单双周,星期二, 9-10节, 明德地下D; 3: 3周, 单双周,星期日, 7-8节, 明德地下D; 4: 3周, 单双周,星期日, 9-10节, 明德地下D;",
,25,2526121089557003,数据管理与数据挖掘03班,21089557,数据管理与数据挖掘,2,信息学院,人工智能与数据技术平台课,刘桃,"2025涉外法治战略人才班1班,2025“涉外法治”创新人才班1班,2024心理学拔尖班1班,2025法学[1-3]班,2024“资源与环境经济学-公共管理学”双学士学位复合型人才培养项目......",40,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 明德地下H; 2: 1-4,6-16周, 单双周,星期三, 5-6节, 明德地下H; 3: 5周, 单双周,星期六, 3-4节, 明德地下H; 4: 5周, 单双周,星期六, 5-6节, 明德地下H;",
,26,2526121089560001,网页设计与编程01班,21089560,网页设计与编程,2,信息学院,人工智能与数据技术平台课,曹巍,"2025新时代经济学拔尖人才班1班,2025社会科学基础理论拔尖人才班1班,2024马克思主义理论1班,2025经济学类[1-4]班",40,0,"1: 1-16周, 单双周,星期一, 3-4节, 明德地下G; 2: 1-16周, 单双周,星期一, 5-6节, 明德地下G;",
,27,2526121089560002,网页设计与编程02班,21089560,网页设计与编程,2,信息学院,人工智能与数据技术平台课,曹巍,"2025涉外法治战略人才班1班,2025“涉外法治”创新人才班1班,2024心理学拔尖班1班,2025法学[1-3]班,2024“资源与环境经济学-公共管理学”双学士学位复合型人才培养项目......",55,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 明德地下G; 2: 1-4,6-16周, 单双周,星期三, 5-6节, 明德地下G; 3: 5周, 单双周,星期六, 3-4节, 明德地下G; 4: 5周, 单双周,星期六, 5-6节, 明德地下G;",
,28,2526121089560004,网页设计与编程03班,21089560,网页设计与编程,2,信息学院,人工智能与数据技术平台课,曹巍,"2025心理学拔尖班1班,2025新时代经济学拔尖人才班1班,2025社会科学基础理论拔尖人才班1班,2025级本科金融学类[1-4]班,2025“资源与环境经济学-公共管理学”双学士学位......",35,0,"1: 1-16周, 单双周,星期四, 7-8节, 明德地下C; 2: 1-16周, 单双周,星期四, 9-10节, 明德地下C;",
,29,2526121089745001,家庭教育学01班,21089745,家庭教育学,2,教育学院,公共选修课,袁玉芝,*|*|*|可选,30,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 国学楼B113; 2: 5周, 单双周,星期六, 5-6节, 国学楼B113;",
,30,2526121090344001,数字化转型与教育变革01班,21090344,数字化转型与教育变革,2,教育学院,公共选修课,詹宏毅,*|*|*|可选,30,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 立德402; 2: 5周, 单双周,星期六, 5-6节, 立德402;",
,31,2526121090744001,英文影视中的语言与文化01班,21090744,英文影视中的语言与文化,2,外国语学院,公共选修课,贾国栋,"*|2022|*|可选,*|2024|*|可选,*|2023|*|可选",30,0,"1: 1-16周, 单双周,星期一, 5-6节, 立德402;",
,32,2526121091045001,爱情哲学01班,21091045,爱情哲学,2,国学院,公共选修课,林光华,*|*|*|可选,53,0,"1: 1-16周, 单双周,星期一, 5-6节, 国学楼B113;",
,33,2526121094267001,营销模拟与数字化决策01班,21094267,营销模拟与数字化决策,2,商学院,个性化选修,韩冀东,"2022营管-数科实验班,2023营销管理-数据科学实验班,商学院2022级营销管理-数据科学实验班,商学院2023级营销管理-数据科学班",27,1,"1: 6-7周, 单双周,星期六, 1-10节, 立德309; 2: 6-7周, 单双周,星期日, 1-10节, 立德309;",
,34,2526121094282001,全渠道与销售管理01班,21094282,全渠道与销售管理,2,商学院,个性化选修,李先国,"2022工商管理-法学双学士学位项目1班,商学院2022级本科[1-6]班,商学院2023级本科[1-6]班,2023营销管理-数据科学实验班,商学院2022级贸易经济班,商学院2023级......",34,1,"1: 1-16周, 单双周,星期四, 3-4节, 明商0207;",
,35,2526121094287001,普通物理AIII01班,21094287,普通物理AIII,3,物理学院,专业核心课,齐燃,"2024严济慈物理学拔尖人才班,2024物理学拔尖班（含严济慈物理学英才班）",60,6,"1: 1-16周, 单双周,星期五, 7-9节, 教一1404;",
,36,2526121094293001,材料科学基础01班,21094293,材料科学基础,3,物理学院,个性化选修,袁轩一,"2022物理学本科班,2023物理学本科班",22,0,"1: 1-16周, 单双周,星期四, 11-13节, 教二2321;",
,37,2526121094356001,课题研究II01班,21094356,课题研究II,2,物理学院,研究训练,季威,2023物理学本科班,8,0,"1: 1-4,6-16周, 单双周,星期三, 1-2节, 北园物理106; 2: 5周, 单双周,星期六, 1-2节, 北园物理106;",
,38,2526121094356002,课题研究II02班,21094356,课题研究II,2,物理学院,研究训练,李涛,2023物理学本科班,8,0,"1: 1-16周, 单双周,星期五, 7-8节, 北园物理301;",
,39,2526121094356003,课题研究II03班,21094356,课题研究II,2,物理学院,研究训练,于伟强,2023物理学本科班,8,0,"1: 1-16周, 单双周,星期五, 7-8节, 理工0801;",
,40,2526121094356004,课题研究II04班,21094356,课题研究II,2,物理学院,研究训练,刘灿,2023物理学本科班,8,0,"1: 1-16周, 单双周,星期五, 7-8节, 理工721A;",
,41,2526121094359001,普通物理实验AI01班,21094359,普通物理实验AI,3,物理学院,专业核心课,"张红霞,刘娟娟","2024严济慈物理学拔尖人才班,2024物理学拔尖班（含严济慈物理学英才班）",27,3,"1: 1-16周, 单双周,星期一, 1-4节, 理工811;",
,42,2526121094359002,普通物理实验AI02班,21094359,普通物理实验AI,3,物理学院,专业核心课,"庞斐,陈珊珊","2024严济慈物理学拔尖人才班,2024物理学拔尖班（含严济慈物理学英才班）",27,3,"1: 1-4,6-16周, 单双周,星期二, 1-4节, 理工811; 2: 3周, 单双周,星期日, 1-4节, 理工811;",
,43,2526121094359003,普通物理实验AI03班,21094359,普通物理实验AI,3,物理学院,专业核心课,"袁轩一,程鹏","2024严济慈物理学拔尖人才班,2024物理学拔尖班（含严济慈物理学英才班）",27,3,"1: 1-16周, 单双周,星期五, 1-4节, 理工811;",
,44,2526121094469001,史料学与历史研究方法01班,21094469,史料学与历史研究方法,2,历史学院,学科基础,"王建伟,张亦冰,刘文远","2024经济学、社会学与历史学实验班（ESH实验班）,2024经济学、社会学与历史学实验班（ESH）,2024经济社会历史（ESH）班",25,0,"1: 1-16周, 单双周,星期一, 3-4节, 立德1010;",
,45,2526121094475001,区块链与数字经济01班,21094475,区块链与数字经济,2,经济学院,个性化选修,朱萸,"2023级应用经济学院经济学类2班,2023经济学类[1-4]班,经济学院|2023|数字经济|可选,经济学院|2022|数字经济|可选",50,5,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 教三3304; 2: 5周, 单双周,星期六, 3-4节, 教三3304;",
,46,2526121094481001,数字产业组织理论01班,21094481,数字产业组织理论,2,应用经济学院,个性化选修,栗雅欣,"2023级应用经济学院经济学类2班,2023国民经济管理1班,2023应用经济-农村区域发展管理双学士学位复合型人才培养项目1班,2023应用经济—农村区域发展管理双学士学位班",30,10,"1: 1-16周, 单双周,星期五, 9-10节, 明新0201;",
,47,2526121094544001,《说文解字》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,华建光,*|*|*|可选,30,0,"1: 1-2,4,6-16周, 单双周,星期三, 11-12节, 教四4106; 2: 3周, 单双周,星期三, 11-12节, 教四4106; 3: 5周, 单双周,星期三, 13-14节, 教四4106; 4: 5周, 单双周,星期六, 11-12节, 教四4106;",
,48,2526121094544002,《音乐的故事》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,"周源,徐悲鸿艺术学院,黄华三,黄华三",*|*|*|可选,30,0,"1: 10周, 单双周,星期日, 11-12节, ; 2: 1周, 单双周,星期四, 5-6节, 教二2111; 3: 15周, 单双周,星期四, 5-6节, 教一1104; 4: 2-7,9-14,16周, 单双周,星期四, 5-6节, 教一1104; 5: 8周, 单双周,星期三, 07节, ; 6: 8周, 单双周,星期三, 10节, ; 7: 8周, 单双周,星期四, 5-6节, 教一1104;",
,49,2526121094544003,《左传》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,谢能宗,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 明国0306; 2: 3周, 单双周,星期日, 11-12节, 明国0306;",
,50,2526121094544004,《艺术的故事》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,朱兴国,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期一, 5-6节, 教四4106;",
,1,2526121094544005,《华北的小农经济与社会变迁》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,高原,*|*|*|可选,20,0,"1: 1-3,5-16周, 单双周,星期一, 5-6节, 明国0308; 2: 4周, 单双周,星期一, 5-6节, 明国0308;",
,2,2526121094544006,《西方文化中的数学》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,黄向阳,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 明国0308; 2: 5周, 单双周,星期六, 5-6节, 明国0308;",
,3,2526121094544008,《中国书法理论体系》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,任贺贺,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期四, 5-6节, 明国0305;",
,4,2526121094544007,《早期中国：社会与文化史》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,张明东,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期二, 5-6节, 明国0304; 2: 3周, 单双周,星期日, 5-6节, 明国0304;",
,5,2526121094544009,《十五至十八世纪的物质文明、经济和资本主,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,杨成,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期四, 11-12节, 教二2205;",
,6,2526121094544010,《思想史：从火到弗洛伊德》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,岳明君,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 明国0305; 2: 5周, 单双周,星期六, 5-6节, 明国0305;",
,7,2526121094544011,《爱的艺术》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,喻月慧,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期一, 5-6节, 明商0201;",
,8,2526121094544012,《中国共产党的七十年》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,杜家丞,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 明商0201; 2: 3周, 单双周,星期日, 11-12节, 明商0201;",
,9,2526121094544013,《尘暴》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,许光清,*|*|*|可选,20,0,"1: 1-4,6,8-16周, 单双周,星期三, 5-6节, 明国0306; 2: 5周, 单双周,星期六, 5-6节, 明国0306; 3: 7周, 单双周,星期三, 5-6节, 明国0306;",
,10,2526121094544014,《史集》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,陈希,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期四, 5-6节, 明国0306;",
,11,2526121094544015,《社会契约论》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,张当,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期二, 11-12节, 明国0307; 2: 3周, 单双周,星期日, 11-12节, 明国0307;",
,12,2526121094544016,《大唐西域记》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,姚霜,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期四, 11-12节, 教二2208;",
,13,2526121094544017,《中国经济史的大分流与现代化》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,翟润卓,*|*|*|可选,20,0,"1: 1-16周, 单双周,星期四, 5-6节, 明国0308;",
,14,2526121094544018,《两地书》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,宋声泉,*|*|*|可选,20,0,"1: 1-8周, 单双周,星期一, 11-14节, 教四4106;",
,15,2526121094544020,《毛泽东早期文稿》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,金星宇,*|*|*|可选,20,0,"1: 1-8,10-16周, 单双周,星期四, 11-12节, 教二2209; 2: 8周, 单双周,星期四, 13-14节, 教二2209; 3: 9周, 单双周,星期四, 11-12节, 教二2209;",
,16,2526121094544019,《中国近代教育文选》导读,21094544,“读史读经典”·名著导读,2,明德书院,通识核心课,胡莉芳,*|*|*|可选,20,0,"1: 1-4,6-16周, 单双周,星期三, 5-6节, 教二2110; 2: 5周, 单双周,星期六, 5-6节, 教二2110;",
,17,2526121094550001,作品分析Ⅰ01班,21094550,作品分析Ⅰ,2,艺术学院,专业核心课,刘洁,"2023音乐表演（钢琴方向）1班,2023音乐表演专业（古琴方向）1班,2023音乐表演（声乐方向）1班,2023音乐表演（管乐）1班,2023音乐表演（多元音乐启蒙方向）1班,2023音......",25,0,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 艺术楼105; 2: 5周, 单双周,星期六, 3-4节, 艺术楼105;",
,18,2526121094555001,编排设计01班,21094555,编排设计,3,艺术学院,专业核心课,焦振涛,2024视觉传达设计1班,13,0,"1: 11-16周, 单双周,星期一, 7-10节, 艺术楼413; 2: 11-16周, 单双周,星期四, 7-10节, 艺术楼413;",
,19,2526121094555002,编排设计02班,21094555,编排设计,3,艺术学院,专业核心课,吴文越,2024数字媒体艺术1班,17,0,"1: 1-12周, 单双周,星期五, 1-4节, 艺术楼402;",
,20,2526121094557001,品牌设计01班,21094557,品牌设计,4,艺术学院,专业核心课,安姚舜,2023视觉传达设计1班,25,0,"1: 5-10周, 单双周,星期一, 7-10节, 艺术楼411; 2: 5-8周, 单双周,星期四, 1-4节, 艺术楼411; 3: 5-10周, 单双周,星期四, 7-10节, 艺术楼411;",
,21,2526121094558001,空间设计01班,21094558,空间设计,2,艺术学院,专业核心课,杨鹏,2023视觉传达设计1班,25,0,"1: 1-3周, 单双周,星期四, 1-4节, 艺术楼411; 2: 1-3周, 单双周,星期四, 7-10节, 艺术楼411; 3: 4周, 单双周,星期一, 1-4节, 艺术楼411; 4: 4周, 单双周,星期一, 7-10节, 艺术楼411;",
,22,2526121094558002,空间设计02班,21094558,空间设计,2,艺术学院,专业核心课,段天然,2024数字媒体艺术1班,17,0,"1: 13-16周, 单双周,星期四, 1-4节, 艺术楼402; 2: 13-16周, 单双周,星期四, 7-10节, 艺术楼402;",
