课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,19,2526121019027001,劳动法的经济学分析01班,21019027,劳动法的经济学分析,2,劳动人事学院,个性化选修,涂永前,2023人力资源管理类[1-5]班,30,5,"1: 1-16周, 单双周,星期四, 1-2节, 教二2214;",
,20,2526121019029001,人格与社会心理学01班,21019029,人格与社会心理学,2,劳动人事学院,个性化选修,金秋萍,"2023人力资源管理类[1-5]班,2023人力资源管理留学生班",50,5,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 立德706; 2: 5周, 单双周,星期六, 3-4节, 立德706;",
,21,2526121019029002,人格与社会心理学02班,21019029,人格与社会心理学,2,劳动人事学院,个性化选修,魏昕,"2023人力资源管理类[1-5]班,2023人力资源管理留学生班",40,5,"1: 1-4,6-16周, 单双周,星期三, 3-4节, 立德702; 2: 5周, 单双周,星期六, 3-4节, 立德702;",
,22,2526121019110001,产业组织学与反垄断01班,21019110,产业组织学与反垄断,2,法学院,个性化选修,"王艳菲,张世明","2023法学[1-3]班,2022法学[1-3]班,商学院2023级工商-法学双学位班,2023工商管理-法学双学士学位项目班",40,0,"1: 1-4,6-8周, 单双周,星期二, 7-8节, 明法0302; 2: 3周, 单双周,星期日, 7-8节, 明法0302; 3: 9-16周, 单双周,星期二, 7-8节, 明法0302;",
,23,2526121019112002,西方古典音乐赏析02班,21019112,西方古典音乐赏析,2,美育中心,美育课程,肖媛妩,*|*|*|可选,30,0,"1: 1-16周, 单双周,星期一, 9-10节, 教一1104;",
,24,2526121019112001,西方古典音乐赏析01班,21019112,西方古典音乐赏析,2,美育中心,美育课程,肖媛妩,*|*|*|可选,30,0,"1: 1-16周, 单双周,星期一, 7-8节, 教一1104;",
,25,2526121019113001,国际法与国际关系01班,21019113,国际法与国际关系,2,国际关系学院,专业核心课,"陈小沁,陈小沁","2023外交学班,2023外交学（留学生）班",35,3,"1: 1周, 单双周,星期三, 11-12节, 明主0303; 2: 2-4,6-16周, 单双周,星期三, 11-12节, 国学楼B113; 3: 5周, 单双周,星期六, 11-12节, 国学楼B113;",
,26,2526121019131001,发展心理学01班,21019131,发展心理学,2,心理学系,公共选修课,"俞国良,董妍",*|*|*|可选,40,0,"1: 1-4,6-16周, 单双周,星期二, 3-4节, 立德610; 2: 3周, 单双周,星期日, 3-4节, 立德610;",
,27,2526121019262001,运营管理（英)23级中意美,21019262,运营管理（英）,2,商学院,专业核心课,"ZHU WANSHAN,农业与农村发展学院",商学院2023级中意美三学位班,40,0,"1: 10周, 单双周,星期六, 3-4节, 立德706; 2: 1-7,9-16周, 单双周,星期四, 3-4节, 立德706; 3: 8周, 单双周,星期四, 3-4节, 立德706;",
,28,2526121019336001,形而上学01班,21019336,形而上学,2,哲学院,个性化选修,ALEXIS YANN LAVIS,"2024哲学强基班1班,2023哲学专业强基计划1班,2023哲学1班,2022哲学专业强基计划1班,2022哲学1班,2024哲学1班",30,20,"1: 1-16周, 单双周,星期五, 7-8节, 立德410;",
,29,2526121019359001,西班牙语视听说Ⅱ01班,21019359,西班牙语视听说Ⅱ,2,外国语学院,专业核心课,PEREZ LABRA ANGELO MATIAS,外国语学院2022级西班牙语班,20,0,"1: 1-16周, 单双周,星期一, 7-8节, 明国0207;",
